run,trial_index,face,emotion
3,1,MHB,H
3,2,WHA,H
3,3,MFB,F
3,4,WSB,S
3,5,WFB,F
3,6,MAB,A
3,7,WFA,F
3,8,MHA,H
3,9,MFB,F
3,10,MNB,N
3,11,WFB,F
3,12,WAB,A
3,13,MNA,N
3,14,WHB,H
3,15,MSB,S
3,16,WSA,S
3,17,WFA,F
3,18,MAA,A
3,19,MHB,H
3,20,WAB,A
3,21,MAB,A
3,22,MFA,F
3,23,MHA,H
3,24,MNA,N
3,25,WHB,H
3,26,MFA,F
3,27,WAA,A
3,28,WNA,N
3,29,MSB,S
3,30,MNB,N
3,31,MSA,S
3,32,WSB,S
3,33,WAA,A
3,34,WHA,H
3,35,WSA,S
3,36,MAA,A
3,37,MSA,S
3,38,WNB,N
3,39,WNA,N
3,40,WNB,N
3,41,MAB,A
3,42,WAB,A
3,43,MNA,N
3,44,WNA,N
3,45,MHB,H
3,46,WNB,N
3,47,MNA,N
3,48,MHB,H
3,49,MHA,H
3,50,WAA,A
3,51,WHA,H
3,52,MSA,S
3,53,WSA,S
3,54,MAA,A
3,55,WSB,S
3,56,MNB,N
3,57,MSA,S
3,58,MNB,N
3,59,WFA,F
3,60,WHB,H
3,61,MFA,F
3,62,MSB,S
3,63,MAB,A
3,64,WNB,N
3,65,WSB,S
3,66,WFA,F
3,67,MFB,F
3,68,WSA,S
3,69,WHA,H
3,70,WHB,H
3,71,WAB,A
3,72,MFA,F
3,73,WAA,A
3,74,WNA,N
3,75,WFB,F
3,76,MAA,A
3,77,WFB,F
3,78,MFB,F
3,79,MSB,S
3,80,MHA,H
3,81,WAA,A
3,82,MNB,N
3,83,MNA,N
3,84,MHB,H
3,85,WFA,F
3,86,MSB,S
3,87,MAB,A
3,88,MSB,S
3,89,WFB,F
3,90,WNA,N
3,91,WAB,A
3,92,WHA,H
3,93,MAB,A
3,94,WSB,S
3,95,WHB,H
3,96,MNA,N
3,97,WNA,N
3,98,MNB,N
3,99,WHB,H
3,100,WAB,A
3,101,MHA,H
3,102,WHA,H
3,103,MHA,H
3,104,MFA,F
3,105,MAA,A
3,106,MSA,S
3,107,WSB,S
3,108,WFB,F
3,109,WNB,N
3,110,MHB,H
3,111,WNB,N
3,112,MFB,F
3,113,WAA,A
3,114,MAA,A
3,115,WSA,S
3,116,MFA,F
3,117,MSA,S
3,118,MFB,F
3,119,WFA,F
3,120,WSA,S
3,121,MAB,A
3,122,MNA,N
3,123,WFA,F
3,124,MHA,H
3,125,MNB,N
3,126,MHA,H
3,127,WAA,A
3,128,WNB,N
3,129,WHA,H
3,130,WHB,H
3,131,MHB,H
3,132,WSA,S
3,133,WAB,A
3,134,MSA,S
3,135,MSB,S
3,136,WFA,F
3,137,WAB,A
3,138,MFB,F
3,139,WSB,S
3,140,MHB,H
3,141,MSA,S
3,142,WSA,S
3,143,WHB,H
3,144,MAA,A
3,145,MFA,F
3,146,MFB,F
3,147,MFA,F
3,148,WNB,N
3,149,MSB,S
3,150,MNA,N
3,151,WAA,A
3,152,MAB,A
3,153,WFB,F
3,154,MAA,A
3,155,WFB,F
3,156,WNA,N
3,157,WSB,S
3,158,WHA,H
3,159,MNB,N
3,160,WNA,N
3,161,MSA,S
3,162,MFA,F
3,163,WNA,N
3,164,MFA,F
3,165,WHA,H
3,166,MNB,N
3,167,WNA,N
3,168,WFA,F
3,169,WSA,S
3,170,MNA,N
3,171,MSB,S
3,172,WAA,A
3,173,MAB,A
3,174,MSA,S
3,175,WFB,F
3,176,MAA,A
3,177,WAA,A
3,178,WHB,H
3,179,MNA,N
3,180,WHA,H
3,181,MFB,F
3,182,WAB,A
3,183,MSB,S
3,184,MHA,H
3,185,WSB,S
3,186,MHA,H
3,187,WNB,N
3,188,WSA,S
3,189,MHB,H
3,190,MFB,F
3,191,WSB,S
3,192,WNB,N
3,193,MAA,A
3,194,MNB,N
3,195,WFA,F
3,196,WHB,H
3,197,WAB,A
3,198,WFB,F
3,199,MHB,H
3,200,MAB,A
