run,trial_index,face,emotion
1,1,WNA,N
1,2,WFA,F
1,3,MFB,F
1,4,MSA,S
1,5,WHB,H
1,6,MAB,A
1,7,MNB,N
1,8,WHB,H
1,9,MAB,A
1,10,MHB,H
1,11,WAA,A
1,12,WFB,F
1,13,WFA,F
1,14,MHA,H
1,15,WHA,H
1,16,WAA,A
1,17,MHA,H
1,18,MNA,N
1,19,MNB,N
1,20,MAA,A
1,21,WFB,F
1,22,MHB,H
1,23,WSA,S
1,24,MFA,F
1,25,MNA,N
1,26,WAB,A
1,27,MSA,S
1,28,MSB,S
1,29,MFA,F
1,30,WNA,N
1,31,WNB,N
1,32,MFB,F
1,33,WSA,S
1,34,WNB,N
1,35,MSB,S
1,36,WSB,S
1,37,MAA,A
1,38,WSB,S
1,39,WAB,A
1,40,WHA,H
1,41,MAA,A
1,42,WHB,H
1,43,WFB,F
1,44,MSA,S
1,45,MAB,A
1,46,MSB,S
1,47,MNA,N
1,48,WSB,S
1,49,WNB,N
1,50,WSB,S
1,51,WAA,A
1,52,MFA,F
1,53,MNB,N
1,54,MHB,H
1,55,MSA,S
1,56,WSA,S
1,57,WFA,F
1,58,MHB,H
1,59,WHB,H
1,60,WNB,N
1,61,MAB,A
1,62,MFB,F
1,63,MSB,S
1,64,MFA,F
1,65,WHA,H
1,66,WFB,F
1,67,WNA,N
1,68,WHA,H
1,69,MAA,A
1,70,WFA,F
1,71,MHA,H
1,72,WSA,S
1,73,WAA,A
1,74,WAB,A
1,75,MFB,F
1,76,MHA,H
1,77,MNB,N
1,78,WNA,N
1,79,MNA,N
1,80,WAB,A
1,81,MAA,A
1,82,WSA,S
1,83,MSB,S
1,84,WHB,H
1,85,WHA,H
1,86,MSA,S
1,87,WFB,F
1,88,MNB,N
1,89,MHA,H
1,90,WAB,A
1,91,MFA,F
1,92,WNA,N
1,93,MFA,F
1,94,MHB,H
1,95,MNA,N
1,96,WFB,F
1,97,WNA,N
1,98,WNB,N
1,99,MNA,N
1,100,MFB,F
1,101,WSB,S
1,102,MHB,H
1,103,MSA,S
1,104,WSB,S
1,105,WAB,A
1,106,MAA,A
1,107,MSB,S
1,108,WHB,H
1,109,MAB,A
1,110,WFA,F
1,111,WAA,A
1,112,MHA,H
1,113,MFB,F
1,114,WAA,A
1,115,MAB,A
1,116,WSA,S
1,117,MNB,N
1,118,WNB,N
1,119,WHA,H
1,120,WFA,F
1,121,MAB,A
1,122,MAA,A
1,123,MAB,A
1,124,WSB,S
1,125,MSA,S
1,126,WNA,N
1,127,MFB,F
1,128,MAA,A
1,129,MNA,N
1,130,WHA,H
1,131,MFA,F
1,132,WNA,N
1,133,WFA,F
1,134,MNA,N
1,135,WAB,A
1,136,MFA,F
1,137,WAB,A
1,138,MFB,F
1,139,MHA,H
1,140,MSA,S
1,141,WSA,S
1,142,MNB,N
1,143,WFA,F
1,144,MSB,S
1,145,WSB,S
1,146,MSB,S
1,147,WAA,A
1,148,WFB,F
1,149,WNB,N
1,150,WAA,A
1,151,MHB,H
1,152,WHB,H
1,153,MHB,H
1,154,WSA,S
1,155,WFB,F
1,156,MNB,N
1,157,WHA,H
1,158,WHB,H
1,159,WNB,N
1,160,MHA,H
1,161,WAA,A
1,162,WHA,H
1,163,MNA,N
1,164,MAB,A
1,165,WNA,N
1,166,MNB,N
1,167,WSB,S
1,168,MSA,S
1,169,WNB,N
1,170,MHB,H
1,171,MAA,A
1,172,WAA,A
1,173,MSB,S
1,174,WFB,F
1,175,MNA,N
1,176,MSB,S
1,177,MFB,F
1,178,WSA,S
1,179,WNB,N
1,180,MAB,A
1,181,WFA,F
1,182,WHB,H
1,183,MAA,A
1,184,WAB,A
1,185,MSA,S
1,186,MHA,H
1,187,MFA,F
1,188,WSB,S
1,189,MFB,F
1,190,WHA,H
1,191,MNB,N
1,192,MFA,F
1,193,MHB,H
1,194,WSA,S
1,195,WFA,F
1,196,WHB,H
1,197,WNA,N
1,198,MHA,H
1,199,WAB,A
1,200,WFB,F
