run,trial_index,face,emotion
4,1,WFB,F
4,2,WFA,F
4,3,MAA,A
4,4,MFA,F
4,5,WNA,N
4,6,MNB,N
4,7,WSA,S
4,8,MNA,N
4,9,WNB,N
4,10,WFA,F
4,11,WSA,S
4,12,MFB,F
4,13,MHB,H
4,14,MHA,H
4,15,WAB,A
4,16,WHA,H
4,17,MAB,A
4,18,MSB,S
4,19,WSB,S
4,20,MAA,A
4,21,WAB,A
4,22,MFB,F
4,23,WHA,H
4,24,MNA,N
4,25,WHB,H
4,26,MSB,S
4,27,MSA,S
4,28,WNB,N
4,29,WHB,H
4,30,MHB,H
4,31,MAB,A
4,32,WSB,S
4,33,WFB,F
4,34,WAA,A
4,35,MFA,F
4,36,MNB,N
4,37,MHA,H
4,38,WNA,N
4,39,WAA,A
4,40,MSA,S
4,41,WFA,F
4,42,WNA,N
4,43,MSB,S
4,44,WHB,H
4,45,MNA,N
4,46,MSB,S
4,47,MAB,A
4,48,WSB,S
4,49,MNB,N
4,50,MAA,A
4,51,MNB,N
4,52,MHB,H
4,53,WFB,F
4,54,WHA,H
4,55,MNA,N
4,56,MSA,S
4,57,WHB,H
4,58,MHB,H
4,59,WNA,N
4,60,WSB,S
4,61,MFB,F
4,62,WFB,F
4,63,WHA,H
4,64,MHA,H
4,65,WAA,A
4,66,MAB,A
4,67,WAB,A
4,68,WFA,F
4,69,MAA,A
4,70,MFA,F
4,71,WAA,A
4,72,WSA,S
4,73,WNB,N
4,74,WSA,S
4,75,MSA,S
4,76,MFB,F
4,77,WAB,A
4,78,MFA,F
4,79,MHA,H
4,80,WNB,N
4,81,MNB,N
4,82,MHB,H
4,83,WAA,A
4,84,MFB,F
4,85,MNB,N
4,86,MSA,S
4,87,WSB,S
4,88,MFA,F
4,89,MSA,S
4,90,MSB,S
4,91,WNB,N
4,92,WAA,A
4,93,WAB,A
4,94,WFB,F
4,95,MAA,A
4,96,WFB,F
4,97,MNA,N
4,98,WAB,A
4,99,MAB,A
4,100,MFB,F
4,101,WSA,S
4,102,MHB,H
4,103,WHA,H
4,104,MHA,H
4,105,WFA,F
4,106,WSA,S
4,107,WHB,H
4,108,MAA,A
4,109,MFA,F
4,110,MNA,N
4,111,MHA,H
4,112,WFA,F
4,113,WNB,N
4,114,WHA,H
4,115,WSB,S
4,116,MSB,S
4,117,WHB,H
4,118,WNA,N
4,119,MAB,A
4,120,WNA,N
4,121,WSA,S
4,122,MSB,S
4,123,MSA,S
4,124,MFB,F
4,125,WHB,H
4,126,WSA,S
4,127,MNB,N
4,128,WAB,A
4,129,MNA,N
4,130,MSA,S
4,131,WNB,N
4,132,MFA,F
4,133,WSB,S
4,134,WNA,N
4,135,MNB,N
4,136,WFA,F
4,137,MAA,A
4,138,MHA,H
4,139,WAA,A
4,140,MAB,A
4,141,MFA,F
4,142,MSB,S
4,143,WNB,N
4,144,MHA,H
4,145,WAA,A
4,146,MHB,H
4,147,MFB,F
4,148,MAA,A
4,149,WAB,A
4,150,WHB,H
4,151,MAB,A
4,152,WNA,N
4,153,WSB,S
4,154,WFB,F
4,155,MHB,H
4,156,WFB,F
4,157,WHA,H
4,158,WFA,F
4,159,WHA,H
4,160,MNA,N
4,161,MHB,H
4,162,MFA,F
4,163,WFA,F
4,164,MAB,A
4,165,WFA,F
4,166,WSA,S
4,167,MAB,A
4,168,MAA,A
4,169,WHA,H
4,170,MFB,F
4,171,MAA,A
4,172,WHB,H
4,173,WAA,A
4,174,WAB,A
4,175,MFB,F
4,176,WNA,N
4,177,WAA,A
4,178,MSB,S
4,179,MNB,N
4,180,MSB,S
4,181,MNA,N
4,182,WSB,S
4,183,WHA,H
4,184,WNB,N
4,185,WHB,H
4,186,MSA,S
4,187,WSB,S
4,188,WSA,S
4,189,WNB,N
4,190,MNA,N
4,191,WFB,F
4,192,WNA,N
4,193,MHA,H
4,194,MNB,N
4,195,MSA,S
4,196,MHA,H
4,197,WFB,F
4,198,WAB,A
4,199,MFA,F
4,200,MHB,H
