run,trial_index,face,emotion
2,1,WAB,A
2,2,MAB,A
2,3,WHB,H
2,4,WFA,F
2,5,MHB,H
2,6,WSB,S
2,7,WHA,H
2,8,MNB,N
2,9,WNB,N
2,10,MHA,H
2,11,MFA,F
2,12,MSA,S
2,13,WAB,A
2,14,MAB,A
2,15,MAA,A
2,16,MSB,S
2,17,WNA,N
2,18,MHB,H
2,19,WNA,N
2,20,WFB,F
2,21,WSA,S
2,22,MHA,H
2,23,MSB,S
2,24,MSA,S
2,25,MFA,F
2,26,WAA,A
2,27,WFA,F
2,28,WHA,H
2,29,MNB,N
2,30,WSA,S
2,31,MFB,F
2,32,MNA,N
2,33,WHB,H
2,34,MNA,N
2,35,WAA,A
2,36,MFB,F
2,37,WSB,S
2,38,MAA,A
2,39,WNB,N
2,40,WFB,F
2,41,WHB,H
2,42,MAA,A
2,43,WHA,H
2,44,MFB,F
2,45,WAA,A
2,46,WAB,A
2,47,MNA,N
2,48,WFB,F
2,49,MFB,F
2,50,WNB,N
2,51,MAA,A
2,52,WAB,A
2,53,WFB,F
2,54,MSA,S
2,55,MNA,N
2,56,MAB,A
2,57,WNB,N
2,58,WSB,S
2,59,WNA,N
2,60,MFA,F
2,61,MSB,S
2,62,MHB,H
2,63,WSB,S
2,64,WFA,F
2,65,MSA,S
2,66,MNB,N
2,67,MSB,S
2,68,WNA,N
2,69,WSA,S
2,70,MHA,H
2,71,WFA,F
2,72,MNB,N
2,73,MFA,F
2,74,WHB,H
2,75,MAB,A
2,76,WSA,S
2,77,MHA,H
2,78,WHA,H
2,79,WAA,A
2,80,MHB,H
2,81,WSA,S
2,82,WHA,H
2,83,MSB,S
2,84,MFB,F
2,85,MAB,A
2,86,WNB,N
2,87,MNA,N
2,88,MHA,H
2,89,WAB,A
2,90,WFA,F
2,91,MSB,S
2,92,MFA,F
2,93,WAA,A
2,94,MHB,H
2,95,WFB,F
2,96,WAA,A
2,97,MHA,H
2,98,WNA,N
2,99,MFB,F
2,100,WSB,S
2,101,MNA,N
2,102,WFB,F
2,103,MAA,A
2,104,WNB,N
2,105,WSB,S
2,106,WNA,N
2,107,MNB,N
2,108,WHB,H
2,109,MNB,N
2,110,MSA,S
2,111,MFA,F
2,112,WAB,A
2,113,WFA,F
2,114,WHA,H
2,115,MSA,S
2,116,MAA,A
2,117,WSA,S
2,118,WHB,H
2,119,MAB,A
2,120,MHB,H
2,121,WAB,A
2,122,MNA,N
2,123,MSB,S
2,124,MSA,S
2,125,WNA,N
2,126,MNA,N
2,127,WFB,F
2,128,MFA,F
2,129,WHB,H
2,130,WNA,N
2,131,MAA,A
2,132,WAB,A
2,133,WSA,S
2,134,MHB,H
2,135,MFA,F
2,136,WAA,A
2,137,WSB,S
2,138,WHB,H
2,139,MHA,H
2,140,MNB,N
2,141,WFA,F
2,142,WFB,F
2,143,WNB,N
2,144,MAB,A
2,145,MFB,F
2,146,WNB,N
2,147,MAB,A
2,148,MFB,F
2,149,WHA,H
2,150,MHB,H
2,151,WFA,F
2,152,MHA,H
2,153,MNB,N
2,154,MSA,S
2,155,MAA,A
2,156,WAA,A
2,157,WHA,H
2,158,WSA,S
2,159,WSB,S
2,160,MSB,S
2,161,MFA,F
2,162,MHB,H
2,163,WAA,A
2,164,MNB,N
2,165,MFB,F
2,166,WSB,S
2,167,WSA,S
2,168,WNB,N
2,169,MNA,N
2,170,WFA,F
2,171,MSB,S
2,172,MNB,N
2,173,WAB,A
2,174,WSB,S
2,175,WNA,N
2,176,MSA,S
2,177,MAB,A
2,178,MHB,H
2,179,WFB,F
2,180,MHA,H
2,181,WHB,H
2,182,WAB,A
2,183,MSB,S
2,184,WFB,F
2,185,WNA,N
2,186,MFB,F
2,187,MAA,A
2,188,MNA,N
2,189,MHA,H
2,190,WAA,A
2,191,WFA,F
2,192,MSA,S
2,193,MFA,F
2,194,WHA,H
2,195,WNB,N
2,196,WHA,H
2,197,MAA,A
2,198,WHB,H
2,199,WSA,S
2,200,MAB,A
