trial_index,arrow
1,none
2,none
3,none
4,none
5,left
6,none
7,none
8,right
9,none
10,none
11,none
12,left
13,none
14,none
15,right
16,none
17,none
18,none
19,none
20,right
21,none
22,left
23,none
24,left
25,none
26,right
27,none
28,none
29,left
30,none
31,none
32,left
33,none
34,none
35,none
36,right
37,none
38,none
39,right
40,none
41,none
42,left
43,none
44,left
45,none
46,none
47,right
48,none
49,left
50,none
51,none
52,left
53,none
54,none
55,none
56,left
57,none
58,none
59,left
60,none
61,right
62,none
63,right
64,none
65,none
66,right
67,none
68,none
69,left
70,none
71,right
72,none
73,left
74,none
75,left
76,none
77,none
78,right
79,none
80,right
81,none
82,none
83,none
84,left
85,none
86,none
87,none
88,left
89,none
90,none
91,none
92,none
93,none
94,none
95,none
96,none
97,none
98,left
99,none
100,none
101,none
102,none
103,none
104,right
105,none
106,none
107,none
108,none
109,right
110,none
111,none
112,none
113,right
114,none
115,none
116,none
117,none
118,none
119,right
120,none
121,none
122,none
123,none
124,none
125,none
126,left
127,none
128,none
129,left
130,none
131,none
132,right
133,none
134,left
135,none
136,none
137,none
138,none
139,right
140,none
141,none
142,none
143,none
144,left
145,none
146,right
147,none
148,none
149,none
150,none
151,none
152,none
153,none
154,none
155,left
156,none
157,right
158,none
159,right
160,none
161,none
162,none
163,none
164,none
165,none
166,none
167,none
168,left
169,none
170,none
171,none
172,right
173,none
174,left
175,none
176,none
177,left
178,none
179,right
180,none
181,none
182,none
183,none
184,none
185,right
186,none
187,left
188,none
189,none
190,none
191,left
192,none
193,none
194,left
195,none
196,right
197,none
198,none
199,right
200,none
201,right
202,none
203,right
