trial_index,arrow
1,none
2,none
3,none
4,left
5,none
6,none
7,none
8,none
9,none
10,none
11,none
12,none
13,left
14,none
15,none
16,right
17,none
18,right
19,none
20,right
21,none
22,none
23,none
24,left
25,none
26,left
27,none
28,right
29,none
30,none
31,none
32,left
33,none
34,none
35,none
36,none
37,left
38,none
39,none
40,none
41,none
42,right
43,none
44,right
45,none
46,left
47,none
48,none
49,left
50,none
51,right
52,none
53,right
54,none
55,none
56,none
57,none
58,none
59,right
60,none
61,none
62,none
63,none
64,none
65,right
66,none
67,right
68,none
69,none
70,left
71,none
72,left
73,none
74,left
75,none
76,right
77,none
78,none
79,left
80,none
81,none
82,none
83,none
84,right
85,none
86,left
87,none
88,none
89,none
90,right
91,none
92,none
93,none
94,none
95,right
96,none
97,none
98,none
99,none
100,right
101,none
102,none
103,none
104,right
105,none
106,none
107,none
108,none
109,left
110,none
111,none
112,none
113,none
114,none
115,none
116,left
117,none
118,right
119,none
120,none
121,none
122,right
123,none
124,left
125,none
126,left
127,none
128,none
129,none
130,none
131,none
132,none
133,none
134,none
135,right
136,none
137,left
138,none
139,none
140,none
141,right
142,none
143,none
144,left
145,none
146,right
147,none
148,right
149,none
150,left
151,none
152,none
153,none
154,right
155,none
156,none
157,none
158,none
159,none
160,right
161,none
162,none
163,none
164,none
165,none
166,none
167,none
168,right
169,none
170,none
171,none
172,left
173,none
174,right
175,none
176,none
177,left
178,none
179,none
180,none
181,left
182,none
183,left
184,none
185,none
186,none
187,left
188,none
189,left
190,none
191,none
192,none
193,none
194,left
195,none
196,right
197,none
198,left
199,none
200,right
201,none
202,left
203,none
