trial_index,arrow
1,none
2,none
3,none
4,none
5,right
6,none
7,none
8,none
9,none
10,right
11,none
12,none
13,none
14,right
15,none
16,none
17,none
18,left
19,none
20,right
21,none
22,none
23,right
24,none
25,left
26,none
27,none
28,left
29,none
30,none
31,none
32,none
33,right
34,none
35,none
36,left
37,none
38,none
39,none
40,right
41,none
42,left
43,none
44,none
45,none
46,right
47,none
48,none
49,none
50,none
51,none
52,none
53,right
54,none
55,none
56,left
57,none
58,left
59,none
60,none
61,none
62,none
63,left
64,none
65,none
66,none
67,none
68,none
69,none
70,left
71,none
72,none
73,none
74,none
75,left
76,none
77,none
78,none
79,none
80,left
81,none
82,right
83,none
84,none
85,none
86,none
87,none
88,none
89,right
90,none
91,none
92,right
93,none
94,none
95,right
96,none
97,none
98,right
99,none
100,right
101,none
102,right
103,none
104,none
105,right
106,none
107,right
108,none
109,none
110,none
111,left
112,none
113,left
114,none
115,none
116,right
117,none
118,none
119,none
120,none
121,left
122,none
123,left
124,none
125,none
126,left
127,none
128,none
129,left
130,none
131,none
132,none
133,left
134,none
135,left
136,none
137,none
138,left
139,none
140,none
141,none
142,none
143,none
144,none
145,none
146,right
147,none
148,left
149,none
150,none
151,left
152,none
153,none
154,none
155,none
156,none
157,left
158,none
159,none
160,right
161,none
162,none
163,none
164,right
165,none
166,right
167,none
168,right
169,none
170,left
171,none
172,none
173,none
174,none
175,none
176,left
177,none
178,none
179,left
180,none
181,none
182,right
183,none
184,none
185,left
186,none
187,right
188,none
189,none
190,right
191,none
192,none
193,left
194,none
195,right
196,none
197,none
198,right
199,none
200,left
201,none
202,none
203,none
